KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sample_time_continuous_caster,count
1,0,-1,2,-1,-1,-1,7:50:24,2
1,0,-1,2,-1,-1,-1,6:53:49,2
1,0,-1,2,1,-1,-1,17:11:15,3
1,0,-1,2,1,-1,-1,16:35:19,2
1,0,-1,2,1,-1,-1,23:37:01,2
1,0,-1,2,1,-1,-1,7:52:08,2
1,0,-1,2,1,-1,-1,19:16:16,1
1,0,-1,2,1,-1,-1,16:04:18,1
1,0,-1,2,1,-1,1,18:41:05,4
1,0,-1,2,1,-1,1,4:15:16,4
1,0,-1,2,1,-1,1,19:16:16,2
1,0,-1,2,1,-1,1,2:04:02,2
1,0,-1,2,1,-1,1,23:37:01,2
1,0,-1,2,1,-1,1,7:36:51,1
