IsolationForest,LOF,OneClassSVM,sample_time_continuous_caster,count
1,1,-1,7:52:08,2
1,1,-1,1:40:44,1
1,1,-1,22:29:29,1
1,1,-1,20:21:06,1
1,1,-1,19:51:37,1
1,1,-1,8:56:38,1
1,1,-1,3:00:14,1
1,1,-1,12:26:23,1
1,1,-1,20:24:54,1
1,1,-1,12:00:09,1
1,1,-1,4:07:23,1
1,1,-1,23:44:09,1
1,1,-1,15:41:04,1
1,1,-1,21:58:47,1
1,1,-1,8:16:20,1
1,1,1,12:24:25,22
1,1,1,6:02:22,22
1,1,1,11:01:52,19
1,1,1,3:25:53,18
1,1,1,18:13:58,18
1,1,1,5:48:57,16
1,1,1,3:26:48,15
1,1,1,2:44:29,15
1,1,1,4:48:01,15
1,1,1,0:58:44,15
1,1,1,2:04:47,14
1,1,1,20:58:07,14
1,1,1,0:00:06,13
1,1,1,23:27:07,13
1,1,1,3:44:08,13
1,1,1,5:09:41,13
1,1,1,0:26:26,13
1,1,1,5:54:21,13
1,1,1,6:43:11,13
1,1,1,12:49:17,13
1,1,1,13:39:39,13
1,1,1,2:48:20,13
1,1,1,1:57:56,13
1,1,1,1:11:37,13
1,1,1,12:05:46,13
1,1,1,11:18:54,13
1,1,1,4:21:10,13
1,1,1,7:31:38,13
1,1,1,18:57:50,13
1,1,1,17:27:01,13
1,1,1,23:43:02,13
1,1,1,9:01:20,13
1,1,1,8:12:51,13
1,1,1,15:56:45,13
1,1,1,15:07:31,13
1,1,1,14:23:32,13
1,1,1,6:54:53,13
1,1,1,7:37:09,13
1,1,1,19:27:02,13
1,1,1,17:13:35,13
1,1,1,3:05:44,13
1,1,1,4:38:22,13
1,1,1,9:43:02,13
1,1,1,11:17:22,13
1,1,1,18:38:33,13
1,1,1,20:20:46,13
1,1,1,1:00:44,13
1,1,1,1:46:27,13
1,1,1,2:28:13,13
1,1,1,6:08:33,13
1,1,1,12:03:10,13
1,1,1,17:55:36,13
1,1,1,12:50:15,13
1,1,1,16:28:38,13
1,1,1,3:48:40,13
1,1,1,5:15:25,13
1,1,1,10:28:19,13
1,1,1,21:46:39,13
1,1,1,21:08:12,13
1,1,1,8:57:40,13
1,1,1,8:10:44,13
1,1,1,22:26:55,13
1,1,1,20:49:32,13
1,1,1,1:27:20,13
1,1,1,20:04:24,13
1,1,1,18:36:58,13
1,1,1,23:47:54,13
1,1,1,19:25:24,13
1,1,1,22:16:59,13
1,1,1,21:35:52,13
1,1,1,23:02:56,13
1,1,1,17:48:17,13
1,1,1,0:46:19,13
1,1,1,4:32:48,13
1,1,1,16:54:04,13
1,1,1,14:41:17,13
1,1,1,23:35:10,13
1,1,1,13:59:43,13
1,1,1,15:25:52,13
1,1,1,22:00:59,13
1,1,1,19:47:17,13
1,1,1,13:06:30,13
1,1,1,12:24:04,13
1,1,1,11:36:12,13
1,1,1,21:16:14,13
1,1,1,22:55:20,13
1,1,1,1:49:14,13
1,1,1,16:09:36,13
1,1,1,20:29:51,13
1,1,1,1:05:08,13
1,1,1,18:24:04,13
1,1,1,2:32:25,13
1,1,1,16:51:38,13
1,1,1,17:37:28,13
1,1,1,0:16:43,13
1,1,1,19:12:03,13
1,1,1,6:17:48,13
1,1,1,7:20:54,13
1,1,1,8:31:58,12
1,1,1,8:22:13,12
1,1,1,23:30:05,12
1,1,1,3:08:27,12
1,1,1,22:55:26,12
1,1,1,22:12:22,12
1,1,1,21:30:28,12
1,1,1,20:51:13,12
1,1,1,20:10:31,12
1,1,1,19:46:27,12
1,1,1,18:54:54,12
1,1,1,18:18:02,12
1,1,1,17:38:13,12
1,1,1,16:56:16,12
1,1,1,0:14:19,12
1,1,1,5:10:31,12
1,1,1,4:30:23,12
1,1,1,3:49:32,12
1,1,1,2:25:42,12
1,1,1,1:46:23,12
1,1,1,0:18:15,12
1,1,1,1:01:05,12
1,1,1,5:50:22,12
1,1,1,6:28:17,12
1,1,1,7:08:16,12
1,1,1,7:46:56,12
1,1,1,8:34:27,12
1,1,1,9:16:52,12
1,1,1,9:52:29,12
1,1,1,16:13:19,12
1,1,1,14:30:34,12
1,1,1,13:42:28,12
1,1,1,13:05:27,12
1,1,1,11:41:28,12
1,1,1,11:05:12,12
1,1,1,10:29:41,12
1,1,1,14:56:26,12
1,1,1,19:50:26,12
1,1,1,9:21:28,12
1,1,1,21:26:21,12
1,1,1,20:39:19,12
1,1,1,23:49:28,12
1,1,1,18:14:36,12
1,1,1,15:53:21,12
1,1,1,7:32:16,12
1,1,1,4:07:17,12
1,1,1,8:45:41,12
1,1,1,6:43:31,12
1,1,1,16:33:24,12
1,1,1,12:56:07,12
1,1,1,14:23:17,12
1,1,1,10:10:14,12
1,1,1,3:14:30,12
1,1,1,23:01:17,12
1,1,1,5:48:22,12
1,1,1,11:30:00,12
1,1,1,22:19:27,12
1,1,1,4:58:47,12
1,1,1,10:44:07,12
1,1,1,19:04:17,12
1,1,1,17:29:08,12
1,1,1,15:13:20,12
1,1,1,13:46:05,12
1,1,1,2:22:57,12
1,1,1,19:45:53,12
1,1,1,19:02:44,12
1,1,1,21:27:54,12
1,1,1,20:35:44,12
1,1,1,4:35:58,12
1,1,1,3:04:42,12
1,1,1,23:47:22,12
1,1,1,2:14:24,12
1,1,1,22:10:09,12
1,1,1,18:11:55,12
1,1,1,3:46:19,12
1,1,1,22:54:52,12
1,1,1,5:15:45,12
1,1,1,6:07:32,12
1,1,1,6:49:52,12
1,1,1,0:46:45,12
1,1,1,1:38:50,12
1,1,1,18:21:26,12
1,1,1,16:44:20,12
1,1,1,22:53:37,12
1,1,1,0:01:08,12
1,1,1,15:38:48,12
1,1,1,23:17:14,12
1,1,1,5:17:28,12
1,1,1,14:57:26,11
1,1,1,5:04:18,11
1,1,1,10:43:09,11
1,1,1,9:58:38,11
1,1,1,8:35:37,11
1,1,1,2:22:18,11
1,1,1,1:32:28,11
1,1,1,5:50:06,11
1,1,1,0:52:46,11
1,1,1,11:32:29,11
1,1,1,20:48:58,11
1,1,1,19:14:12,11
1,1,1,9:14:08,11
1,1,1,8:20:48,11
1,1,1,4:23:09,11
1,1,1,2:54:59,11
1,1,1,6:32:16,11
1,1,1,7:18:38,11
1,1,1,22:28:15,11
1,1,1,23:07:27,11
1,1,1,23:54:14,11
1,1,1,20:02:37,11
1,1,1,19:51:37,11
1,1,1,7:41:32,11
1,1,1,4:02:24,10
1,1,1,7:26:07,10
1,1,1,8:14:21,10
1,1,1,9:53:50,10
1,1,1,9:07:23,10
1,1,1,11:21:04,10
1,1,1,6:32:31,10
1,1,1,8:10:38,10
1,1,1,5:51:33,10
1,1,1,7:18:23,10
1,1,1,4:58:33,10
1,1,1,0:40:03,10
1,1,1,2:45:06,10
1,1,1,2:01:57,10
1,1,1,1:21:13,10
1,1,1,8:56:05,10
1,1,1,4:18:10,10
1,1,1,9:37:42,10
1,1,1,21:41:09,10
1,1,1,18:17:27,10
1,1,1,18:47:38,10
1,1,1,19:37:54,10
1,1,1,20:17:03,10
1,1,1,20:58:54,10
1,1,1,22:27:49,10
1,1,1,23:06:25,10
1,1,1,23:53:52,10
1,1,1,10:24:10,10
1,1,1,13:53:20,10
1,1,1,14:28:19,10
1,1,1,15:16:20,10
1,1,1,16:04:45,10
1,1,1,16:47:01,10
1,1,1,17:29:46,10
1,1,1,2:52:51,10
1,1,1,2:18:15,10
1,1,1,1:25:00,10
1,1,1,9:33:44,10
1,1,1,0:23:26,10
1,1,1,0:40:27,10
1,1,1,8:56:18,10
1,1,1,3:34:23,10
1,1,1,5:00:12,10
1,1,1,10:19:10,10
1,1,1,11:41:50,10
1,1,1,13:09:53,10
1,1,1,13:50:34,10
1,1,1,14:33:16,10
1,1,1,15:15:08,10
1,1,1,8:08:15,10
1,1,1,16:32:31,10
1,1,1,17:14:22,10
1,1,1,17:57:03,10
1,1,1,18:39:25,10
1,1,1,19:19:14,10
1,1,1,19:56:59,10
1,1,1,22:37:40,10
1,1,1,23:24:29,10
1,1,1,7:15:22,10
1,1,1,6:30:53,10
1,1,1,5:45:22,10
1,1,1,4:25:13,10
1,1,1,15:57:02,10
1,1,1,20:17:21,10
1,1,1,23:07:42,10
1,1,1,0:26:59,10
1,1,1,4:29:42,10
1,1,1,3:47:21,10
1,1,1,0:22:48,10
1,1,1,1:01:45,10
1,1,1,22:25:24,10
1,1,1,21:50:39,10
1,1,1,21:10:36,10
1,1,1,20:34:13,10
1,1,1,20:28:08,10
1,1,1,19:34:45,10
1,1,1,19:17:22,10
1,1,1,23:47:33,10
1,1,1,9:41:04,10
1,1,1,1:50:55,10
1,1,1,8:25:56,10
1,1,1,7:47:32,10
1,1,1,7:07:16,10
1,1,1,6:23:55,10
1,1,1,9:03:26,10
