DBSCAN,impurity_index_fca_bin,count
835,Medium,7
836,High,7
837,High,7
838,Medium,49
838,High,28
838,Low,7
839,High,7
840,Medium,7
841,Low,27
841,Medium,9
842,Medium,9
843,Medium,9
844,Medium,9
845,Medium,9
846,Low,9
847,Low,9
848,Low,9
849,Medium,9
850,Medium,9
851,High,9
852,Medium,9
853,Low,9
854,Medium,9
855,Low,9
856,High,9
857,High,9
858,Medium,9
859,High,9
860,Low,7
861,High,7
862,Low,7
863,Medium,7
864,Medium,7
865,Medium,14
866,Low,7
867,High,7
868,Low,7
869,High,7
870,Low,28
870,Medium,7
871,Medium,14
872,Low,7
873,Low,7
874,Low,7
875,Low,7
876,Low,7
877,High,7
878,Medium,14
878,High,7
879,High,7
880,High,42
880,Medium,7
881,High,30
881,Medium,20
882,High,10
883,High,10
884,High,10
885,High,10
886,Medium,10
887,High,10
888,High,10
889,High,10
890,High,30
890,Medium,20
891,Medium,10
892,Medium,50
893,High,10
894,High,10
895,Medium,10
896,High,10
897,Medium,10
898,Low,10
899,Medium,10
900,High,60
901,Medium,10
902,High,10
903,Low,20
904,Low,10
905,Medium,10
906,High,10
907,Medium,10
907,Low,10
908,Medium,10
909,Medium,10
910,Low,10
911,Medium,10
912,High,20
913,Low,10
914,High,6
915,High,6
916,Low,9
916,Medium,6
917,Medium,6
918,Medium,6
919,High,6
920,High,6
921,High,12
922,High,6
923,Low,6
924,Medium,18
924,Low,12
925,Medium,6
926,Medium,6
927,Low,6
928,Low,6
929,Medium,6
930,Low,6
931,Medium,6
932,High,6
933,Medium,6
934,Low,6
935,Medium,6
936,Medium,6
937,High,6
938,Medium,6
939,Low,6
940,Low,27
941,Medium,9
942,Low,9
943,Medium,9
944,High,9
945,High,9
946,Medium,9
947,Medium,9
948,Low,45
948,Medium,18
949,Medium,9
950,Low,9
951,High,9
952,Low,9
953,Medium,9
954,High,9
955,Medium,9
956,Low,9
957,Medium,9
958,Medium,6
959,High,6
960,Medium,6
960,High,6
961,High,6
962,High,6
963,High,6
964,High,6
965,High,6
966,High,6
967,Medium,6
968,Low,6
969,Low,24
969,Medium,6
970,Low,6
971,Low,6
972,Medium,12
972,High,6
973,Medium,6
974,High,6
975,High,6
976,High,6
977,High,6
978,High,6
979,Medium,6
980,Medium,6
981,High,6
982,Medium,6
983,High,6
984,Medium,6
985,Medium,18
986,Medium,9
987,Medium,9
988,Low,18
989,Medium,9
990,High,9
991,Medium,54
992,Medium,9
993,Medium,9
994,Low,9
995,Medium,9
996,Medium,9
997,High,9
998,High,9
999,High,9
1000,High,9
1001,High,27
1002,High,9
1003,High,9
1004,High,9
1005,Low,9
1006,High,9
1007,High,9
1008,High,9
1009,High,18
1010,High,63
1011,High,9
1012,Medium,9
1013,Medium,9
1014,Medium,9
1015,High,6
1016,High,6
1017,High,18
1018,High,18
1019,High,6
1020,High,6
1021,High,6
1022,High,6
1023,High,6
1024,Medium,12
1025,High,6
1026,Medium,6
1027,High,6
1028,Medium,18
1028,High,6
1029,Low,6
1030,Medium,6
1031,Medium,6
1032,Medium,6
1033,High,13
1034,High,48
1035,High,6
1036,High,6
1037,Medium,6
1038,Low,6
1039,Medium,6
1040,Low,6
1041,Medium,6
1042,Low,6
1043,High,6
1044,High,6
1045,Medium,73
1045,High,62
1045,Low,7
1046,Medium,9
1047,High,9
1048,High,9
1049,Medium,9
1050,Low,9
1051,Medium,18
1052,Medium,18
1053,High,9
1054,Low,9
1055,Low,9
1056,Medium,9
1057,Low,9
1058,Low,9
1059,Medium,9
1060,Medium,9
1061,Medium,9
1062,Medium,9
1063,Low,9
1064,Medium,9
1065,Medium,9
1066,Low,9
1067,Low,9
1068,High,9
1069,Medium,9
1069,Low,9
1070,Low,9
1071,High,9
1072,Medium,9
1073,Low,10
1074,Low,10
1075,High,10
1076,High,10
1077,High,10
1078,High,10
1079,Low,10
1080,Low,10
1081,Medium,10
1082,Medium,10
1083,Medium,10
1084,Medium,16
1085,Medium,10
1086,Low,10
1087,High,10
1088,Medium,10
1089,High,10
1090,Medium,10
1091,Medium,10
1092,High,10
1093,Medium,50
1094,Medium,10
1095,High,10
1096,High,10
1097,Low,60
1098,Low,6
1099,Medium,6
1100,High,25
1100,Medium,13
1101,High,6
1102,High,6
1103,Medium,20
1103,High,12
1104,High,6
1105,Low,6
1106,Low,6
1107,High,6
1108,Medium,6
1109,High,6
1110,High,6
1111,Low,24
1112,Low,6
1113,Low,6
1114,Low,6
1115,Low,8
1116,Medium,8
1117,Low,8
1118,Low,8
1119,High,8
1120,Medium,8
1121,Low,8
1122,Medium,16
1123,Medium,8
1124,Low,8
1125,Medium,8
1126,Medium,8
1127,High,8
1127,Medium,8
1128,High,8
1129,High,16
1129,Medium,8
1130,High,8
1131,Medium,8
1132,High,8
1133,High,8
1134,Medium,8
1135,High,8
1136,Medium,8
1137,High,8
1138,Medium,8
1139,High,8
1140,High,8
1141,High,8
1142,High,8
1143,Medium,8
1144,Medium,42
1144,High,14
1145,Medium,7
1146,Medium,7
1147,Medium,7
1148,Medium,7
1149,Medium,7
1150,Low,7
1151,Medium,7
1152,Medium,28
1152,Low,14
1153,Medium,7
1154,Medium,7
1155,Medium,7
1156,Medium,7
1157,Medium,7
1158,Low,7
1159,High,7
1160,High,14
1161,High,7
1162,High,7
1163,High,7
1164,Medium,7
1165,High,7
1166,High,7
1167,High,7
1168,High,7
1169,Medium,7
1170,Medium,14
1171,High,7
1172,Medium,14
1173,Low,7
1174,Medium,7
1175,High,7
1176,Low,7
1177,Medium,7
1178,Medium,7
1179,High,7
1180,Medium,7
1181,Medium,7
1182,Medium,7
1183,High,7
1184,Low,7
1185,High,7
1186,Low,7
1187,Low,7
1188,Medium,7
1189,Medium,7
1190,High,7
1191,High,7
1192,Medium,21
1193,Medium,7
1194,Medium,7
1195,Medium,7
1196,Medium,23
1196,High,9
1197,Medium,7
1198,Medium,7
1199,High,6
1199,Medium,6
1200,High,6
1201,High,6
1202,Medium,6
1203,High,6
1203,Medium,6
1204,Low,24
1205,High,6
1206,High,6
1207,Medium,12
1207,High,12
1208,High,12
1208,Medium,6
1209,High,6
1210,Low,6
1211,Low,6
1212,Low,6
1213,Low,6
1214,Low,12
1215,Medium,12
1216,High,6
1217,Medium,6
1218,High,6
1219,Low,18
1220,Low,18
1221,Medium,9
1222,Low,9
1223,High,9
1224,High,9
1225,High,9
1226,Low,9
1227,High,18
1227,Medium,9
1228,Medium,9
1229,High,9
1230,High,9
1231,High,9
1232,High,9
1233,High,9
1234,High,9
1235,High,9
1236,Medium,9
1237,Low,9
1238,High,9
1239,Medium,9
1240,High,9
1241,High,9
1242,High,9
1243,High,9
1244,Low,6
1245,Low,6
1246,Low,48
1247,Low,6
1248,Low,6
1249,Low,12
1250,Low,6
1251,Low,6
1252,High,6
1253,Low,30
1254,Low,6
1255,Low,6
1256,Low,6
1257,Medium,6
1258,Low,6
1259,Low,6
1260,Low,6
1261,Low,6
1262,Low,6
1263,High,6
1264,High,7
1265,High,7
1266,High,7
1267,Medium,7
1268,High,7
1269,High,14
1270,High,7
1271,High,7
1272,High,7
1273,High,7
1274,High,7
1275,High,7
1276,High,7
1277,High,7
1278,Low,7
1279,High,7
1280,High,7
1281,High,7
1282,High,21
1283,High,7
1284,Medium,7
1285,Medium,7
1286,Medium,7
1287,High,7
1288,Low,7
1289,High,7
1289,Low,7
1289,Medium,7
1290,Medium,6
1291,High,6
1292,High,6
1293,Medium,30
1294,Medium,6
1295,High,24
1295,Low,6
1295,Medium,6
1296,High,12
1297,High,6
1298,Low,18
1299,Low,6
1300,Medium,6
1301,High,6
1301,Medium,6
1302,High,6
1303,High,6
1304,Low,6
1305,High,6
1306,Medium,6
1307,Medium,6
1308,Low,6
1309,Medium,6
1310,Medium,6
1311,Medium,7
1312,High,14
1313,High,7
1314,High,7
1315,High,7
1316,High,7
1317,Medium,21
1317,Low,14
1318,Medium,7
1319,Medium,7
1320,Medium,7
1321,Medium,21
1321,High,14
1322,High,35
1323,High,7
1324,High,7
1325,Medium,7
1326,Medium,14
1327,High,7
1328,High,14
1329,High,28
1330,High,6
1331,Medium,6
1332,High,6
1333,High,6
1333,Medium,6
1334,High,6
1335,Medium,6
1336,High,6
1337,Medium,12
1338,High,6
1339,High,6
1340,High,6
1341,High,6
1342,Medium,18
1342,Low,6
1342,High,6
1343,High,6
1344,High,6
1345,High,5
1346,High,20
1347,High,5
1348,High,5
1349,High,5
1350,High,5
1351,High,20
1352,High,10
1353,Low,5
1354,High,5
1355,High,5
1356,High,5
1357,High,5
1358,High,10
1359,High,5
1360,High,5
1361,High,5
1362,High,5
1363,High,5
1364,High,5
1365,High,10
1366,High,5
1367,High,6
1368,High,6
1369,High,6
1370,High,6
1371,High,6
1372,High,6
1373,High,12
1374,High,6
1375,Medium,6
1376,High,6
1377,High,6
1378,High,6
1379,Medium,6
1380,Medium,6
1381,High,6
1382,High,12
1383,High,6
1384,High,6
1385,High,6
1386,High,6
1387,High,6
1388,High,12
1389,Medium,18
1389,High,6
1390,Medium,12
1391,Medium,6
1392,High,6
1393,Medium,8
1394,High,8
1395,High,28
1395,Medium,20
1396,Low,6
1397,Medium,6
1398,Medium,6
1399,Medium,12
1400,Medium,6
1401,High,6
1402,High,6
1403,High,6
1404,High,6
1405,High,6
1406,High,12
1407,High,6
1408,High,6
1409,High,6
1410,High,6
1411,High,6
1412,Medium,18
1413,High,6
1414,Medium,12
1414,High,6
1415,High,12
1416,Low,30
1416,Medium,14
1417,Medium,6
1418,Medium,6
1419,Medium,8
1420,Medium,16
1420,High,12
1421,Medium,12
1421,Low,8
1422,Low,8
1422,Medium,4
1423,Medium,8
1424,Low,8
1425,Medium,30
1425,Low,6
1425,High,4
1426,Medium,20
1427,Low,12
1427,Medium,8
1428,High,16
1429,High,20
1429,Medium,15
1429,Low,5
1430,Medium,10
1430,High,5
1431,Medium,5
1432,Medium,29
1432,Low,16
1432,High,8
1433,High,10
1434,High,5
1435,High,5
1436,Medium,10
1436,High,5
1436,Low,5
1437,High,5
1438,Low,5
1439,Medium,5
1440,Low,5
1441,Medium,5
1442,High,5
1443,Medium,5
1444,Medium,5
1445,Medium,9
1446,Medium,18
1447,Medium,7
1448,Medium,3
1448,High,3
1449,High,12
1449,Medium,4
1450,Medium,16
1451,High,10
1452,High,5
1453,High,5
1454,High,5
1455,High,5
1456,High,5
1457,Low,20
1457,Medium,5
1458,High,5
1459,Medium,5
1460,High,5
1461,Low,5
