anomaly_label,anomaly_score,is_anomaly,RUL,RUL_class
1,0.13713274533428155,0,429.0,Medium
1,0.1221935942056449,0,0.0,Critical
1,0.11975241487572791,0,0.0,Critical
1,0.14156489127187316,0,8739.0,Healthy
1,0.1283259673315299,0,9101.0,Healthy
1,0.1320995434039599,0,9074.0,Healthy
1,0.12156560660410737,0,0.0,Critical
1,0.1294697024778932,0,9019.0,Healthy
1,0.13886031200833482,0,8988.0,Healthy
1,0.13929317715326955,0,8960.0,Healthy
1,0.13804312287353865,0,8936.0,Healthy
1,0.12280479461505606,0,9061.0,Healthy
1,0.1416500338363389,0,8880.0,Healthy
1,0.13131915778724856,0,8850.0,Healthy
1,0.13116718879899109,0,8825.0,Healthy
1,0.12225304896205669,0,8798.0,Healthy
1,0.13289546068251046,0,8767.0,Healthy
1,0.10993883959551887,0,8908.0,Healthy
1,0.11716850087085295,0,4402.0,Healthy
1,0.04110624702071869,0,6095.0,Healthy
1,0.07505656545567002,0,4374.0,Healthy
-1,-0.011387347138315684,1,4346.0,Healthy
-1,-0.062038312244219296,1,6233.0,Healthy
-1,-0.01494943295476403,1,6209.0,Healthy
1,0.006727364413019243,0,6180.0,Healthy
1,0.0070475694579847925,0,6153.0,Healthy
-1,-0.030976763791243367,1,6123.0,Healthy
1,0.01810935484352888,0,6069.0,Healthy
1,0.07933610098458066,0,12262.0,Healthy
1,0.028362706646205604,0,6016.0,Healthy
-1,-0.01494943295476403,1,9521.0,Healthy
-1,-0.062038312244219296,1,9545.0,Healthy
-1,-0.01129390358448601,1,6058.0,Healthy
1,0.07339854602372053,0,6083.0,Healthy
1,0.11590736300157711,0,6108.0,Healthy
1,0.07694446540712996,0,6135.0,Healthy
1,0.006727364413019243,0,9492.0,Healthy
1,0.0706162141003055,0,6160.0,Healthy
1,0.07825696756693129,0,6212.0,Healthy
1,0.06266358727032151,0,6237.0,Healthy
1,0.07781445948032317,0,4426.0,Healthy
1,0.07509964092870158,0,10756.0,Healthy
1,0.0846123787645729,0,10787.0,Healthy
1,0.046964136783973376,0,10814.0,Healthy
1,0.07549189783259985,0,6187.0,Healthy
1,0.0070475694579847925,0,9463.0,Healthy
-1,-0.030976763791243367,1,9432.0,Healthy
1,0.04110624702071869,0,9408.0,Healthy
1,0.07633916809531721,0,9003.0,Healthy
1,0.08540124176023645,0,9030.0,Healthy
1,0.048611633163606116,0,9058.0,Healthy
1,0.06659404117606571,0,9083.0,Healthy
1,0.07212330400204109,0,9110.0,Healthy
1,0.08891525920004073,0,9135.0,Healthy
1,0.11626333089181978,0,9162.0,Healthy
1,0.103022461779882,0,9190.0,Healthy
1,0.09155601008487996,0,9218.0,Healthy
1,0.05953546882715466,0,9245.0,Healthy
1,0.04165137118928319,0,9273.0,Healthy
1,0.03904627424586904,0,9300.0,Healthy
1,0.028362706646205604,0,9329.0,Healthy
1,0.027312420376079227,0,9356.0,Healthy
1,0.01810935484352888,0,9382.0,Healthy
1,0.06681560657599472,0,10839.0,Healthy
1,0.027312420376079227,0,6043.0,Healthy
1,0.07160617849008588,0,10867.0,Healthy
1,0.11557196188723323,0,10922.0,Healthy
1,0.07946441735140669,0,11503.0,Healthy
1,0.064369699680562,0,11531.0,Healthy
1,0.07633916809531721,0,5690.0,Healthy
1,0.08540124176023645,0,5717.0,Healthy
1,0.048611633163606116,0,5742.0,Healthy
1,0.06659404117606571,0,5770.0,Healthy
1,0.07671068555840721,0,11473.0,Healthy
1,0.07212330400204109,0,5797.0,Healthy
1,0.11626333089181978,0,5849.0,Healthy
1,0.103022461779882,0,5877.0,Healthy
1,0.09155601008487996,0,5905.0,Healthy
1,0.05953546882715466,0,5932.0,Healthy
1,0.04165137118928319,0,5960.0,Healthy
1,0.03904627424586904,0,5987.0,Healthy
1,0.08891525920004073,0,5825.0,Healthy
1,0.07116142888912902,0,11445.0,Healthy
1,0.07779436133949041,0,11414.0,Healthy
1,0.11675768557407862,0,11387.0,Healthy
1,0.10236287217071144,0,10949.0,Healthy
1,0.06051772988959164,0,11005.0,Healthy
1,0.04012424300249662,0,11032.0,Healthy
1,0.03813172893159417,0,11060.0,Healthy
1,0.02896435961504512,0,11086.0,Healthy
1,0.026798990590725824,0,11113.0,Healthy
1,0.0192280487387278,0,11140.0,Healthy
1,0.04102535279756936,0,11165.0,Healthy
-1,-0.028833342177119636,1,11193.0,Healthy
1,0.007971631267012058,0,11224.0,Healthy
1,0.006563938978126682,0,11250.0,Healthy
-1,-0.014932588584601891,1,11277.0,Healthy
-1,-0.06143233731457132,1,11303.0,Healthy
-1,-0.011497205555588419,1,11328.0,Healthy
1,0.07460142830747984,0,11356.0,Healthy
1,0.08821764102914692,0,10894.0,Healthy
1,0.07091982450320178,0,4451.0,Healthy
