feature,importance
cat__timestamp_2020-07-05 10:12:04,4.451477552039599e-05
cat__timestamp_2020-05-20 11:00:38,4.441972821628607e-05
cat__timestamp_2020-08-17 15:54:15,4.432407500739909e-05
cat__timestamp_2020-05-25 11:17:22,4.428905780022467e-05
cat__timestamp_2020-05-31 06:42:58,4.378636904974143e-05
cat__timestamp_2020-01-05 18:00:45,4.3701183814765276e-05
cat__timestamp_2020-08-08 15:02:45,4.3663806534933964e-05
cat__timestamp_2020-05-31 09:57:20,4.35847646738993e-05
cat__timestamp_2020-03-08 20:47:04,4.3368816489141375e-05
cat__timestamp_2020-04-09 19:29:19,4.3132924046700546e-05
cat__timestamp_2020-07-25 18:01:46,4.304698990273351e-05
cat__timestamp_2020-03-05 14:49:55,4.3005792323104925e-05
cat__timestamp_2020-08-18 14:03:02,4.2725216750549965e-05
cat__timestamp_2020-03-09 20:46:49,4.259879608381346e-05
cat__timestamp_2020-04-09 12:17:06,4.259486120896239e-05
cat__timestamp_2020-05-25 08:10:44,4.1505235872790934e-05
cat__timestamp_2020-01-10 06:18:04,4.1448664881479145e-05
cat__timestamp_2020-07-25 13:27:58,4.129027048660322e-05
cat__timestamp_2020-05-08 12:49:15,4.122189264828193e-05
cat__timestamp_2020-05-31 14:20:50,4.120467368001413e-05
cat__timestamp_2020-03-09 00:03:18,4.1116172905751976e-05
cat__timestamp_2020-06-09 15:48:43,4.106780438582915e-05
cat__timestamp_2020-08-18 08:22:28,4.091003046182745e-05
cat__timestamp_2020-05-25 19:27:02,4.0801459228546064e-05
cat__timestamp_2020-07-25 23:25:58,4.054519518318823e-05
cat__timestamp_2020-05-20 11:40:40,4.039191283400615e-05
cat__timestamp_2020-07-30 21:53:13,4.0361269804173464e-05
cat__timestamp_2020-06-09 14:22:24,4.009573577165914e-05
cat__timestamp_2020-01-08 18:27:15,4.0009460086792526e-05
cat__timestamp_2020-02-08 04:44:05,3.985935947383959e-05
cat__timestamp_2020-08-18 01:23:04,3.983174062586641e-05
cat__timestamp_2020-01-10 08:20:53,3.9762250734179326e-05
cat__timestamp_2020-04-09 20:02:03,3.975209874616064e-05
cat__timestamp_2020-05-19 15:53:21,3.973598692841965e-05
cat__timestamp_2020-05-24 00:17:42,3.9685441458651106e-05
cat__timestamp_2020-01-10 16:04:51,3.964313572109175e-05
cat__timestamp_2020-07-24 07:47:32,3.9573802045920566e-05
cat__timestamp_2020-04-09 10:54:45,3.9438114250356474e-05
cat__timestamp_2020-06-09 22:06:33,3.9328678975606214e-05
cat__timestamp_2020-04-09 14:14:01,3.922848230756473e-05
cat__timestamp_2020-08-20 01:03:58,3.920879400537735e-05
cat__timestamp_2020-05-09 08:34:27,3.9175557149812136e-05
cat__timestamp_2020-07-31 22:14:11,3.899992930132519e-05
cat__timestamp_2020-05-25 05:15:25,3.89808340869898e-05
cat__timestamp_2020-05-09 12:21:29,3.887382064997618e-05
cat__timestamp_2020-03-08 23:32:35,3.886506178684251e-05
cat__timestamp_2020-08-17 18:14:28,3.875423709808427e-05
cat__timestamp_2020-05-25 06:08:33,3.874626322379463e-05
cat__timestamp_2020-01-10 18:54:12,3.858680167596816e-05
cat__timestamp_2020-07-25 16:48:49,3.8509218257196496e-05
cat__timestamp_2020-05-19 20:39:19,3.837163125979072e-05
cat__timestamp_2020-07-29 19:36:58,3.832449467312501e-05
cat__timestamp_2020-05-19 23:49:28,3.819923858787018e-05
cat__timestamp_2020-05-24 18:56:16,3.819593239678912e-05
cat__timestamp_2020-03-08 19:27:09,3.818530847888135e-05
cat__timestamp_2020-08-17 14:17:14,3.818508771659358e-05
cat__timestamp_2020-05-25 12:03:10,3.81797462406068e-05
cat__timestamp_2020-04-08 04:17:50,3.813364856732876e-05
cat__timestamp_2020-08-20 04:15:16,3.805479347355633e-05
cat__timestamp_2020-05-19 15:13:20,3.803511040594142e-05
cat__timestamp_2020-05-31 15:48:22,3.7993907065933175e-05
cat__timestamp_2020-07-24 16:54:32,3.796910555325832e-05
cat__timestamp_2020-03-05 18:30:26,3.769886853186546e-05
cat__timestamp_2020-05-09 06:28:17,3.754146060319442e-05
cat__timestamp_2020-03-08 14:24:01,3.7388695571471516e-05
cat__timestamp_2020-01-07 21:54:23,3.732631714021603e-05
cat__timestamp_2020-08-25 00:13:39,3.72269196009162e-05
cat__timestamp_2020-01-10 02:58:45,3.7091341105005435e-05
cat__timestamp_2020-07-29 12:13:53,3.681620930568605e-05
cat__timestamp_2020-01-08 16:26:12,3.672646917972325e-05
cat__timestamp_2020-08-26 03:14:51,3.647113274803658e-05
cat__timestamp_2020-05-27 02:20:43,3.629687070894423e-05
cat__timestamp_2020-05-19 11:30:00,3.621770220265857e-05
cat__timestamp_2020-08-08 19:34:31,3.6090516249761996e-05
cat__timestamp_2020-08-18 19:59:28,3.6039071904284656e-05
cat__timestamp_2020-08-17 20:57:30,3.599879125863825e-05
cat__timestamp_2020-05-07 12:37:32,3.599866027999329e-05
cat__timestamp_2020-07-09 07:04:13,3.598205786952731e-05
cat__timestamp_2020-03-08 06:33:06,3.594730637759703e-05
cat__timestamp_2020-04-09 22:17:57,3.593037490188665e-05
cat__timestamp_2020-05-20 16:17:58,3.5880584408052796e-05
cat__timestamp_2020-05-25 15:38:48,3.5803891742347305e-05
cat__timestamp_2020-08-08 10:59:51,3.5797411398593905e-05
cat__timestamp_2020-01-10 02:27:59,3.573829910851628e-05
cat__timestamp_2020-08-24 06:20:12,3.5500725974100235e-05
