PC1,PC2,RUL,RUL_class
-0.1767114763088426,0.2527059296198816,16389.0,Healthy
2.4012518104379006,0.7815530180977585,1084.0,Healthy
1.8068299301241229,0.3450877143740418,1057.0,Healthy
2.4013988964768287,0.7823248352364202,9453.0,Healthy
1.9033382695951495,0.6162406325797449,9481.0,Healthy
0.32300552274921995,0.2938276279047463,11600.0,Healthy
2.73230947247581,-1.0714882866733173,11631.0,Healthy
1.9033219451351555,0.616154971846106,12383.0,Healthy
2.401382572016835,0.7822391745027812,12355.0,Healthy
1.8069607414727527,0.34577413193983775,12331.0,Healthy
2.7791459409428843,0.9091772711711239,12303.0,Healthy
2.9890202610172825,0.8316112050564595,12279.0,Healthy
2.0551933674545326,0.310731800157642,12251.0,Healthy
1.7261361390511802,0.3841244518698564,12226.0,Healthy
1.7543750494533823,0.5886926148855648,12199.0,Healthy
1.9416376295906908,0.09140148158696491,12171.0,Healthy
1.5420427492997069,-0.14168423246340472,12147.0,Healthy
2.3014586862740303,0.03367148516236804,12119.0,Healthy
0.7072403844236356,0.6643791165684002,12091.0,Healthy
0.7267221016574197,0.6018189870100614,12067.0,Healthy
2.7790151295942547,0.9084908536053279,1029.0,Healthy
0.2634917848791697,0.3727914821689908,12039.0,Healthy
0.4871101400980606,0.41593356960595124,11984.0,Healthy
0.5377598407559637,0.5817487036618503,11959.0,Healthy
0.8005793802377024,0.5860521499048785,11932.0,Healthy
0.24019312496420353,0.6240092781951441,11904.0,Healthy
0.794885151963763,0.7721159425390669,11880.0,Healthy
0.8067026260009081,0.8931149995772385,11852.0,Healthy
0.8021525388567695,0.9386194158744915,11827.0,Healthy
0.8429999419195983,0.7639774427408288,11800.0,Healthy
-0.007231148098836565,0.5538499539509015,11772.0,Healthy
-0.3298321971561573,0.33477894546683623,11745.0,Healthy
0.4181199498880506,0.72415518459461,11714.0,Healthy
0.21909134044733,0.6992787351731367,11686.0,Healthy
-0.176727551920361,0.25262157469010904,11659.0,Healthy
0.8143810605133397,0.6940973934111102,12012.0,Healthy
2.9888893998989574,0.8309245263298901,1002.0,Healthy
1.903191183556221,0.6154688154410833,1112.0,Healthy
1.7260052281631602,0.38343751198251386,946.0,Healthy
2.055062506336208,0.31004512143107277,974.0,Healthy
0.41813607526926405,0.7242398006851558,16447.0,Healthy
-0.3298161215446389,0.3348633003966087,16475.0,Healthy
-0.00721507248731817,0.553934308880674,16502.0,Healthy
0.8430160673008117,0.7640620588313746,16533.0,Healthy
0.3228743298329278,0.29313920810635513,303.0,Low
2.732178213199924,-1.072177054686073,330.0,Low
0.2189601309411394,0.6985902283211544,388.0,Low
0.4179887403818601,0.7234666777426277,416.0,Medium
-0.32996345643204295,0.3340901774540806,444.0,Medium
-0.007362407374722208,0.5531611859381459,471.0,Medium
0.8428687324134078,0.7632889358888465,502.0,Medium
0.8020213459404774,0.9379309960761002,530.0,Medium
0.8065714662644127,0.8924267538860295,557.0,Medium
-0.17685881119624663,0.25193280667735346,358.0,Low
0.2400620149974032,0.6233212936647083,612.0,Medium
0.7947539922272675,0.771427696847858,585.0,Medium
1.9415066689329756,0.09071428053884904,888.0,Healthy
2.30132767584662,0.03298402295347888,833.0,Healthy
0.7071093739962254,0.663691654359511,805.0,Healthy
