,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2
161,1.0372225443471303,-1.3993260550343363,18.61138,4.8868937,4.2081037,7.434644
162,0.7226874975753335,-0.5968041181997505,18.741894,4.9911065,4.191129,7.423944
163,0.6528212503578271,-2.0830016063530556,16.2952,3.0799918,4.2471037,7.4347672
164,-3.4074163596380833,2.558394238627584,-60.280598,-17.33591,3.4956365,-1.2353122
165,-2.8512709896712414,3.1073232317991284,-60.280598,-17.33591,3.4956365,-1.2353122
166,-0.4869007196998133,-1.3713123495188828,10.590129,-39.413887,7.2886705,-1.3645604
167,0.1783446980964973,-2.653705747897372,10.0042095,-33.636726,7.0397544,-1.718983
168,0.010425592599758872,-1.658649727475373,11.487341,-39.324635,7.1298666,-1.2138782
169,-0.318664990259487,-2.2084693675470164,14.3370495,-38.295506,7.1229963,-1.4952891
170,-0.2262140818006562,-1.4416804498296045,11.904613,-42.194923,7.3148537,-1.24593
171,-0.06729087676983014,-2.4675921848415507,14.366098,-30.54509,7.060637,-2.0851064
172,-0.5379501116091711,-1.8626967072826242,9.943832,-39.24742,7.307026,-1.3685472
173,0.08849932941597398,-1.753678139011961,12.537634,-41.936607,7.423304,-1.3374437
174,-0.38282878039465423,-2.9396535578103378,15.525827,-29.59721,7.175874,-2.183869
175,-0.45397116474464233,-1.138248157246805,5.972312,-41.57652,7.5950823,-0.9671148
176,-2.69906497279941,1.573205173055651,-52.022205,-20.310125,3.8206933,-1.2883067
