KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,date,count
1,0,191,1,1,1,1,2020-05-14,30
1,0,192,2,1,-1,1,2020-05-13,2
1,0,192,2,1,1,1,2020-05-13,8
1,0,193,1,1,-1,1,2020-05-13,5
1,0,194,1,1,1,1,2020-05-13,5
1,0,195,1,1,-1,1,2020-05-13,4
1,0,195,1,1,1,1,2020-05-13,1
1,0,196,1,1,1,1,2020-05-14,5
1,0,197,1,1,1,1,2020-05-14,5
1,0,198,2,1,-1,1,2020-05-14,5
1,0,199,2,1,1,1,2020-05-14,10
1,0,200,2,1,1,1,2020-05-14,5
1,0,201,2,1,1,1,2020-05-14,15
1,0,201,2,1,1,1,2020-05-15,5
1,0,202,2,1,1,1,2020-05-14,5
1,0,203,1,1,-1,1,2020-05-14,1
1,0,203,1,1,1,1,2020-05-14,4
1,0,204,2,1,-1,1,2020-05-14,5
1,0,208,2,1,1,1,2020-05-15,20
1,0,208,2,1,1,1,2020-05-16,15
1,0,211,2,1,-1,-1,2020-05-15,1
1,0,211,2,1,-1,1,2020-05-15,4
1,0,213,2,1,-1,1,2020-05-15,5
1,0,216,2,1,1,1,2020-05-16,45
1,0,217,2,-1,-1,-1,2020-05-16,4
1,0,217,2,-1,-1,1,2020-05-16,1
1,0,218,2,1,1,1,2020-05-16,5
1,0,219,1,1,-1,1,2020-05-16,5
1,0,220,2,1,1,1,2020-05-16,5
1,0,221,2,1,-1,1,2020-05-17,11
1,0,223,2,1,-1,-1,2020-05-17,11
1,0,224,2,1,1,-1,2020-05-17,11
1,0,227,1,1,1,1,2020-05-19,12
1,0,228,1,1,1,1,2020-05-19,12
1,0,229,1,1,1,1,2020-05-19,48
1,0,230,1,1,1,1,2020-05-19,12
1,0,231,1,1,1,1,2020-05-19,12
1,0,232,2,1,1,1,2020-05-19,12
1,0,233,2,1,1,1,2020-05-19,12
1,0,234,2,1,1,1,2020-05-20,6
1,0,235,2,1,-1,1,2020-05-20,6
1,0,236,1,1,1,1,2020-05-20,18
1,0,237,1,1,1,1,2020-05-20,6
1,0,238,2,1,1,1,2020-05-20,6
1,0,239,2,1,-1,-1,2020-05-20,6
1,0,240,1,1,-1,1,2020-05-20,6
1,0,242,2,-1,1,-1,2020-05-21,12
1,0,243,2,-1,1,-1,2020-05-21,12
1,0,244,1,1,1,1,2020-05-21,12
1,0,245,1,1,1,1,2020-05-21,12
1,0,246,2,1,1,-1,2020-05-21,12
1,0,249,1,1,1,1,2020-05-22,13
1,0,253,1,-1,1,1,2020-05-22,1
1,0,253,1,1,1,1,2020-05-22,12
1,0,254,1,1,1,1,2020-05-23,7
1,0,255,1,1,1,1,2020-05-23,7
1,0,256,2,1,1,1,2020-05-23,7
1,0,257,1,1,1,1,2020-05-23,7
1,0,258,2,1,1,1,2020-05-23,7
1,0,259,1,1,1,1,2020-05-23,7
1,0,260,1,1,1,1,2020-05-25,13
1,0,261,1,1,1,1,2020-05-25,13
1,0,262,1,1,1,1,2020-05-25,13
1,0,263,1,1,1,1,2020-05-25,52
1,0,263,2,1,1,1,2020-05-25,13
1,0,264,1,1,1,1,2020-05-25,13
1,0,266,1,1,1,1,2020-05-25,13
1,0,275,1,1,1,1,2020-05-27,39
1,0,277,1,1,1,1,2020-05-27,13
1,0,278,1,1,1,1,2020-05-27,13
1,0,279,1,1,1,1,2020-05-28,7
1,0,280,1,1,-1,1,2020-05-28,7
1,0,281,1,1,1,1,2020-05-28,7
1,0,283,2,1,-1,1,2020-05-29,7
1,0,284,2,1,-1,1,2020-05-29,7
1,0,285,1,1,-1,1,2020-05-29,7
1,0,286,1,1,1,1,2020-05-29,56
1,0,287,1,1,1,1,2020-05-30,8
1,0,288,2,1,1,1,2020-05-30,44
1,0,289,2,-1,-1,-1,2020-05-30,6
1,0,290,2,-1,-1,-1,2020-05-30,4
1,0,290,2,-1,1,-1,2020-05-30,1
1,0,290,2,-1,1,1,2020-05-30,2
1,0,290,2,1,1,1,2020-05-30,41
1,0,291,1,1,-1,1,2020-05-30,8
1,0,292,2,1,1,1,2020-05-30,8
1,0,293,2,1,1,1,2020-05-30,8
1,0,294,2,-1,-1,-1,2020-05-30,8
1,0,295,1,1,1,1,2020-05-31,90
1,0,295,1,1,1,1,2020-05-30,8
1,0,296,2,1,1,1,2020-05-30,8
1,0,297,2,-1,-1,-1,2020-05-30,8
1,0,298,2,-1,1,1,2020-05-30,4
1,0,298,2,1,1,1,2020-05-30,2
1,0,299,1,1,1,1,2020-05-30,8
