DBSCAN,RUL_class,count
382,Healthy,40
382,Low,16
382,Medium,4
383,Healthy,8
383,Low,4
384,Healthy,8
384,Low,4
385,Healthy,7
385,Critical,4
385,Medium,1
386,Healthy,9
386,Medium,3
387,Healthy,10
387,Medium,2
388,Healthy,12
389,Healthy,12
390,Healthy,24
391,Healthy,8
391,Medium,4
392,Healthy,8
392,Medium,4
393,Healthy,8
393,Medium,4
394,Healthy,7
394,Medium,4
394,Critical,1
395,Healthy,8
395,Medium,4
396,Healthy,8
396,Low,4
397,Healthy,8
397,Low,3
397,Medium,1
398,Healthy,8
398,Medium,4
399,Healthy,8
399,Medium,4
400,Healthy,8
400,Medium,4
401,Healthy,7
401,Medium,4
401,Low,1
402,Healthy,8
402,Medium,4
403,Healthy,5
404,Healthy,5
405,Healthy,5
406,Healthy,15
407,Healthy,15
408,Healthy,5
409,Healthy,100
409,Low,6
409,Medium,1
409,Critical,1
410,Healthy,5
411,Healthy,5
412,Healthy,5
413,Healthy,5
414,Healthy,10
415,Healthy,5
416,Healthy,10
417,Healthy,5
418,Healthy,5
419,Healthy,5
420,Healthy,5
421,Healthy,5
422,Healthy,5
423,Healthy,5
424,Healthy,5
425,Healthy,10
426,Healthy,45
427,Healthy,5
428,Healthy,10
429,Healthy,5
430,Healthy,10
431,Healthy,5
432,Healthy,5
433,Healthy,5
434,Healthy,10
435,Healthy,5
436,Healthy,5
437,Healthy,5
438,Healthy,5
439,Healthy,5
440,Healthy,5
441,Healthy,10
442,Healthy,5
443,Healthy,10
444,Healthy,10
445,Healthy,5
446,Healthy,5
447,Healthy,5
448,Healthy,5
449,Healthy,10
450,Healthy,5
451,Healthy,5
452,Healthy,5
453,Healthy,5
454,Healthy,25
455,Healthy,5
456,Healthy,5
457,Healthy,5
458,Healthy,5
459,Healthy,5
460,Healthy,40
461,Healthy,20
462,Healthy,5
463,Healthy,5
464,Healthy,5
465,Healthy,5
466,Healthy,5
467,Healthy,5
468,Healthy,5
469,Healthy,5
470,Healthy,5
471,Healthy,5
472,Healthy,10
473,Healthy,23
473,Medium,4
474,Healthy,5
475,Healthy,5
476,Healthy,5
477,Healthy,5
478,Healthy,118
478,Medium,14
479,Healthy,9
479,Medium,2
480,Healthy,11
481,Healthy,11
482,Healthy,11
483,Healthy,55
484,Healthy,11
485,Healthy,9
485,Medium,2
486,Healthy,11
487,Healthy,7
488,Healthy,35
489,Healthy,56
490,Healthy,98
491,Healthy,7
492,Healthy,70
493,Healthy,7
494,Healthy,7
495,Healthy,7
496,Healthy,14
497,Healthy,7
498,Healthy,10
498,Critical,2
499,Healthy,10
499,Medium,2
500,Healthy,20
500,Critical,4
501,Healthy,10
501,Critical,2
502,Healthy,20
502,Critical,4
503,Healthy,80
503,Low,10
503,Medium,6
504,Healthy,40
504,Medium,8
505,Healthy,10
505,Medium,2
506,Healthy,10
506,Medium,2
507,Healthy,10
507,Low,2
508,Healthy,10
508,Medium,2
509,Healthy,10
509,Medium,2
510,Healthy,10
510,Medium,2
511,Medium,4
511,Healthy,2
512,Medium,32
512,Healthy,18
512,Low,4
513,Medium,4
513,Healthy,2
514,Healthy,12
515,Healthy,6
516,Healthy,6
517,Healthy,18
518,Healthy,6
519,Healthy,6
520,Medium,4
520,Healthy,2
521,Healthy,6
522,Healthy,6
523,Healthy,3
523,Medium,3
524,Medium,4
524,Healthy,2
525,Medium,4
525,Healthy,2
526,Medium,4
526,Healthy,2
527,Low,4
527,Healthy,2
528,Low,4
528,Healthy,2
529,Healthy,57
529,Medium,3
530,Healthy,12
531,Healthy,11
531,Medium,1
532,Critical,6
532,Healthy,6
533,Critical,6
533,Healthy,6
534,Low,6
534,Healthy,6
535,Low,6
535,Healthy,6
536,Healthy,12
536,Low,6
536,Critical,6
537,Healthy,11
537,Medium,1
538,Low,6
538,Healthy,6
539,Healthy,11
539,Medium,1
540,Healthy,6
540,Critical,6
541,Critical,6
541,Healthy,6
542,Low,6
542,Healthy,6
543,Healthy,6
543,Low,6
544,Healthy,6
544,Critical,6
545,Healthy,63
545,Medium,2
546,Healthy,13
547,Healthy,98
547,Medium,7
548,Healthy,13
549,Healthy,13
550,Healthy,13
551,Healthy,12
551,Low,1
552,Healthy,24
552,Low,2
553,Healthy,12
553,Medium,1
554,Healthy,12
554,Medium,1
555,Healthy,13
556,Healthy,12
556,Medium,1
557,Healthy,12
557,Medium,1
558,Healthy,24
558,Medium,2
559,Healthy,12
559,Medium,1
560,Healthy,13
561,Healthy,42
562,Healthy,7
563,Healthy,7
564,Healthy,14
565,Healthy,6
565,Critical,1
566,Healthy,7
567,Healthy,7
568,Healthy,7
569,Healthy,14
570,Healthy,42
571,Healthy,7
572,Healthy,7
573,Healthy,7
574,Healthy,7
575,Healthy,7
576,Healthy,7
577,Healthy,7
578,Healthy,7
579,Healthy,6
579,Critical,1
580,Healthy,24
580,Medium,4
581,Healthy,6
581,Critical,1
582,Healthy,4
582,Medium,2
582,Critical,1
583,Healthy,10
583,Medium,2
583,Critical,2
584,Healthy,16
584,Critical,3
584,Medium,2
585,Healthy,6
585,Medium,1
586,Healthy,21
586,Medium,10
586,Critical,3
586,Low,1
587,Healthy,6
587,Medium,1
588,Healthy,4
588,Medium,2
588,Low,1
589,Healthy,8
589,Medium,3
589,Critical,2
589,Low,1
590,Healthy,4
590,Medium,2
590,Critical,1
591,Healthy,4
