RUL_class,time_temperature_measurement1,count
Critical,13:38:00,2
Critical,14:18:00,2
Critical,4:38:00,2
Critical,13:22:00,2
Critical,15:21:00,2
Critical,16:00:00,2
Critical,23:05:00,2
Critical,7:56:00,2
Critical,18:16:00,2
Critical,15:01:00,2
Critical,15:52:00,2
Critical,22:51:00,2
Critical,22:14:00,2
Critical,1:03:00,2
Critical,11:18:00,2
Critical,2:25:00,2
Critical,5:10:00,2
Critical,0:21:00,2
Critical,3:02:00,2
Critical,11:57:00,2
Critical,16:08:00,2
Critical,14:09:00,2
Critical,4:34:00,2
Critical,6:41:00,2
Critical,5:41:00,2
Critical,5:23:00,2
Critical,3:06:00,2
Critical,7:26:00,2
Critical,6:23:00,2
Critical,8:21:00,2
Critical,9:01:00,2
Critical,9:42:00,2
Critical,1:48:00,2
Critical,10:24:00,2
Critical,5:04:00,2
Critical,3:45:00,2
Critical,8:19:00,2
Critical,4:07:00,2
Critical,2:32:00,2
Critical,1:46:00,2
Critical,0:59:00,2
Critical,22:48:00,2
Critical,6:08:00,2
Critical,6:12:00,2
Critical,0:13:00,2
Critical,20:43:00,2
Critical,1:06:00,2
Critical,0:29:00,2
Critical,7:29:00,2
Critical,8:47:00,2
Critical,9:26:00,2
Critical,10:05:00,2
Critical,0:50:00,2
Critical,1:27:00,2
Critical,8:22:00,2
Critical,12:26:00,2
Critical,23:46:00,2
Critical,2:48:00,2
Critical,0:26:00,2
Critical,18:11:00,2
Critical,8:28:00,2
Critical,16:07:00,2
Critical,18:05:00,2
Critical,17:19:00,2
Critical,3:03:00,2
Critical,2:33:00,2
Critical,16:31:00,2
Critical,17:51:00,1
Critical,1:49:00,1
Critical,4:39:00,1
Critical,3:56:00,1
Critical,3:48:00,1
Critical,8:33:00,1
Critical,6:22:00,1
Critical,2:44:00,1
Critical,1:18:00,1
Critical,16:42:00,1
Critical,15:12:00,1
Critical,15:57:00,1
Critical,12:07:00,1
Critical,20:36:00,1
Critical,22:12:00,1
Critical,23:17:00,1
Critical,3:27:00,1
Critical,2:01:00,1
Critical,23:14:00,1
Critical,19:50:00,1
Critical,18:28:00,1
Critical,17:48:00,1
Critical,16:27:00,1
Critical,15:08:00,1
Critical,13:07:00,1
Critical,12:27:00,1
Critical,4:33:00,1
Critical,5:02:00,1
Critical,21:36:00,1
Critical,19:47:00,1
Critical,3:09:00,1
Critical,1:04:00,1
Critical,0:22:00,1
Critical,1:43:00,1
Critical,11:16:00,1
Critical,9:47:00,1
Critical,6:51:00,1
Critical,5:22:00,1
Critical,11:40:00,1
Critical,18:51:00,1
Critical,19:38:00,1
Critical,18:08:00,1
Critical,19:06:00,1
Critical,22:07:00,1
Critical,18:56:00,1
Critical,10:42:00,1
Critical,14:56:00,1
Critical,14:12:00,1
Critical,4:46:00,1
Critical,17:52:00,1
Critical,7:46:00,1
Critical,12:05:00,1
Critical,20:37:00,1
Critical,19:51:00,1
Critical,22:08:00,1
Critical,17:14:00,1
Critical,16:12:00,1
Critical,12:21:00,1
Critical,13:51:00,1
Critical,11:38:00,1
Critical,1:35:00,1
Critical,16:11:00,1
Critical,17:27:00,1
Critical,18:29:00,1
Critical,14:34:00,1
Critical,19:16:00,1
Critical,12:38:00,1
Critical,14:45:00,1
Critical,9:48:00,1
Critical,11:58:00,1
Critical,10:39:00,1
Critical,9:52:00,1
Critical,8:17:00,1
Critical,7:31:00,1
Critical,21:49:00,1
Critical,21:46:00,1
Critical,13:27:00,1
Critical,11:53:00,1
Critical,11:07:00,1
Critical,13:40:00,1
Critical,1:38:00,1
Critical,21:07:00,1
Critical,14:20:00,1
Critical,11:00:00,1
Critical,18:59:00,1
Critical,9:40:00,1
Critical,15:03:00,1
Critical,20:24:00,1
Critical,4:30:59,1
Critical,0:58:00,1
Critical,16:45:00,1
Critical,16:48:00,1
Critical,20:01:00,1
Critical,20:48:00,1
Critical,22:21:00,1
Critical,23:06:00,1
Critical,11:37:00,1
Critical,15:27:00,1
Critical,14:40:00,1
Critical,21:17:00,1
Critical,15:44:00,1
Critical,12:46:00,1
Critical,18:57:00,1
Critical,16:13:00,1
Critical,14:14:00,1
Critical,17:33:00,1
Critical,6:04:00,1
Critical,18:52:00,1
Critical,10:23:00,1
Critical,4:37:00,1
Critical,3:53:00,1
Critical,2:14:00,1
Critical,3:08:00,1
Critical,23:30:00,1
Critical,13:15:00,1
Critical,6:46:00,1
Critical,5:19:00,1
Critical,6:02:00,1
Low,19:40:00,37
Low,18:55:00,32
Low,21:10:00,28
Low,6:25:00,27
Low,21:55:00,27
Low,15:40:00,27
Low,22:40:00,26
Low,23:25:00,26
Low,4:10:00,25
Low,5:45:00,25
Low,17:50:00,24
