IsolationForest,LOF,OneClassSVM,time_temperature_measurement2,count
1,1,1,3:22:00,24
1,1,1,10:55:00,24
1,1,1,6:30:00,24
1,1,1,18:30:00,24
1,1,1,22:10:00,24
1,1,1,20:35:00,24
1,1,1,11:22:00,24
1,1,1,9:43:00,24
1,1,1,4:30:00,23
1,1,1,1:15:00,23
1,1,1,6:57:00,23
1,1,1,5:30:00,23
1,1,1,18:15:00,23
1,1,1,2:50:00,23
1,1,1,21:09:00,23
1,1,1,12:45:00,23
1,1,1,13:30:00,23
1,1,1,21:47:00,22
1,1,1,16:30:00,22
1,1,1,9:03:00,22
1,1,1,17:30:00,22
1,1,1,14:15:00,22
1,1,1,17:20:00,22
1,1,1,19:39:00,22
1,1,1,16:15:00,22
1,1,1,5:05:00,22
1,1,1,23:10:00,22
1,1,1,2:38:00,22
1,1,1,23:02:00,22
1,1,1,14:50:00,22
1,1,1,0:55:00,22
1,1,1,3:51:00,22
1,1,1,3:50:00,21
1,1,1,4:35:00,21
1,1,1,21:20:00,21
1,1,1,11:40:00,21
1,1,1,5:50:00,21
1,1,1,17:00:00,21
1,1,1,8:40:00,21
1,1,1,9:22:00,21
1,1,1,4:03:00,21
1,1,1,22:49:00,21
1,1,1,23:38:00,21
1,1,1,5:13:00,21
1,1,1,6:16:00,21
1,1,1,9:45:00,21
1,1,1,14:26:00,21
1,1,1,2:35:00,21
1,1,1,10:05:00,21
1,1,1,21:00:00,20
1,1,1,22:04:00,20
1,1,1,1:55:00,20
1,1,1,9:24:00,20
1,1,1,1:34:00,20
1,1,1,5:35:00,20
1,1,1,4:02:00,20
1,1,1,4:15:00,20
1,1,1,3:19:00,20
1,1,1,1:30:00,20
1,1,1,0:31:00,20
1,1,1,20:37:00,20
1,1,1,19:51:00,20
1,1,1,3:24:00,20
1,1,1,19:43:00,20
1,1,1,14:11:00,20
1,1,1,22:32:00,19
1,1,1,14:08:00,19
1,1,1,3:27:00,19
1,1,1,3:05:00,19
1,1,1,1:17:00,19
1,1,1,16:42:00,19
