KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,time_temperature_measurement2,count
1,0,14,1,1,1,-1,5:20:00,2
1,0,14,1,1,1,1,5:20:00,4
1,0,15,1,1,1,1,11:58:00,6
1,0,16,1,1,1,1,13:19:00,6
1,0,17,1,1,1,1,18:11:00,6
1,0,18,2,1,-1,-1,23:16:00,6
1,0,19,1,1,-1,1,18:52:00,6
1,0,20,1,1,1,1,6:55:00,5
1,0,21,1,1,-1,1,3:25:00,4
1,0,21,1,1,-1,1,9:08:00,2
1,0,21,1,1,-1,1,13:50:00,2
1,0,21,1,1,-1,1,0:49:00,1
1,0,21,1,1,1,1,6:05:00,41
1,0,21,1,1,1,1,7:40:00,39
1,0,21,1,1,1,1,5:45:00,38
1,0,21,1,1,1,1,4:45:00,37
1,0,21,1,1,1,1,14:05:00,34
1,0,21,1,1,1,1,2:40:00,30
1,0,21,1,1,1,1,3:20:00,30
1,0,21,1,1,1,1,2:00:00,29
1,0,21,1,1,1,1,22:00:00,28
1,0,21,1,1,1,1,6:25:00,28
1,0,21,1,1,1,1,1:10:00,27
1,0,21,1,1,1,1,15:00:00,26
1,0,21,1,1,1,1,22:05:00,26
1,0,21,1,1,1,1,9:00:00,26
1,0,21,1,1,1,1,0:00:00,25
1,0,21,1,1,1,1,17:25:00,25
1,0,21,1,1,1,1,2:30:00,25
1,0,21,1,1,1,1,15:40:00,24
1,0,21,1,1,1,1,23:35:00,24
1,0,21,1,1,1,1,3:40:00,23
1,0,21,1,1,1,1,17:05:00,23
1,0,21,1,1,1,1,6:45:00,23
1,0,21,1,1,1,1,19:30:00,23
1,0,21,1,1,1,1,5:40:00,23
1,0,21,1,1,1,1,11:25:00,23
1,0,21,1,1,1,1,10:25:00,23
1,0,21,1,1,1,1,11:45:00,23
1,0,21,1,1,1,1,22:55:00,23
1,0,21,1,1,1,1,7:00:00,23
1,0,21,1,1,1,1,15:55:00,22
1,0,21,1,1,1,1,5:00:00,22
1,0,21,1,1,1,1,14:24:00,22
1,0,21,1,1,1,1,18:10:00,22
1,0,21,1,1,1,1,0:55:00,22
1,0,21,1,1,1,1,3:55:00,22
1,0,21,1,1,1,1,10:15:00,22
1,0,21,1,1,1,1,2:55:00,21
1,0,21,1,1,1,1,17:45:00,21
1,0,21,1,1,1,1,4:00:00,21
1,0,21,1,1,1,1,10:05:00,21
1,0,21,1,1,1,1,17:40:00,21
1,0,21,1,1,1,1,0:40:00,20
1,0,21,1,1,1,1,5:25:00,20
1,0,21,1,1,1,1,4:40:00,20
1,0,21,1,1,1,1,1:16:00,20
1,0,21,1,1,1,1,4:10:00,20
1,0,21,1,1,1,1,22:15:00,20
1,0,21,1,1,1,1,6:57:00,19
1,0,21,1,1,1,1,18:40:00,19
1,0,21,1,1,1,1,13:10:00,19
1,0,21,1,1,1,1,23:25:00,19
1,0,21,1,1,1,1,22:45:00,19
1,0,21,1,1,1,1,12:20:00,19
1,0,21,1,1,1,1,22:10:00,18
1,0,21,1,1,1,1,20:45:00,18
1,0,21,1,1,1,1,20:05:00,18
1,0,21,1,1,1,1,13:25:00,18
1,0,21,1,1,1,1,12:30:00,18
1,0,21,1,1,1,1,1:45:00,18
1,0,21,1,1,1,1,1:04:00,18
1,0,21,1,1,1,1,3:10:00,18
1,0,21,1,1,1,1,3:51:00,18
1,0,21,1,1,1,1,5:05:00,17
1,0,21,1,1,1,1,6:22:00,17
1,0,21,1,1,1,1,16:00:00,17
1,0,21,1,1,1,1,0:35:00,17
1,0,21,1,1,1,1,1:58:00,17
1,0,21,1,1,1,1,7:25:00,17
1,0,21,1,1,1,1,19:02:00,17
1,0,21,1,1,1,1,12:55:00,16
1,0,21,1,1,1,1,5:41:00,16
1,0,21,1,1,1,1,16:38:00,16
1,0,21,1,1,1,1,2:10:00,16
1,0,21,1,1,1,1,17:21:00,16
1,0,21,1,1,1,1,14:35:00,16
1,0,21,1,1,1,1,18:45:00,16
1,0,21,1,1,1,1,15:10:00,16
1,0,21,1,1,1,1,9:40:00,16
1,0,21,1,1,1,1,4:20:00,16
1,0,21,1,1,1,1,3:00:00,16
1,0,21,1,1,1,1,12:44:00,16
1,0,21,1,1,1,1,9:53:00,16
1,0,21,1,1,1,1,8:20:00,16
