KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sleeve,count
0,1,247,0,1,1,1,30014187,1
0,1,247,0,1,1,1,30013872,1
0,1,247,0,1,1,1,30014191,1
0,1,247,0,1,1,1,30014078,1
0,1,247,0,1,1,1,30013875,1
0,1,247,0,1,1,1,30014193,1
0,1,247,0,1,1,1,30014192,1
0,1,247,0,1,1,1,30014134,1
0,1,247,0,1,1,1,30014141,1
0,1,248,0,1,-1,1,30013872,1
0,1,248,0,1,1,-1,30014078,1
0,1,248,0,1,1,1,30014144,2
0,1,248,0,1,1,1,30014193,1
0,1,248,0,1,1,1,30014187,1
0,1,248,0,1,1,1,30013871,1
0,1,248,0,1,1,1,30014190,1
0,1,248,0,1,1,1,30013875,1
0,1,248,0,1,1,1,30014192,1
0,1,248,0,1,1,1,30014191,1
0,1,248,0,1,1,1,30014134,1
0,1,248,0,1,1,1,30014141,1
0,1,250,0,-1,1,-1,30014078,1
0,1,250,0,1,1,-1,30014144,2
0,1,250,0,1,1,-1,30014187,1
0,1,250,0,1,1,-1,30013871,1
0,1,250,0,1,1,-1,30014190,1
0,1,250,0,1,1,-1,30014192,1
0,1,250,0,1,1,-1,30013872,1
0,1,250,0,1,1,-1,30014191,1
0,1,250,0,1,1,-1,30013875,1
0,1,250,0,1,1,-1,30014193,1
0,1,250,0,1,1,-1,30014141,1
0,1,250,0,1,1,-1,30014134,1
0,1,251,0,1,1,-1,30014190,1
0,1,251,0,1,1,-1,30014187,1
0,1,251,0,1,1,-1,30014192,1
0,1,251,0,1,1,-1,30013872,1
0,1,251,0,1,1,-1,30014191,1
0,1,251,0,1,1,-1,30013875,1
0,1,251,0,1,1,-1,30014193,1
0,1,251,0,1,1,-1,30014078,1
0,1,251,0,1,1,-1,30014134,1
0,1,251,0,1,1,1,30014144,2
0,1,251,0,1,1,1,30013871,1
0,1,251,0,1,1,1,30014141,1
0,1,252,0,-1,1,1,30014193,1
0,1,252,0,1,1,1,30014144,2
0,1,252,0,1,1,1,30013871,1
0,1,252,0,1,1,1,30014190,1
0,1,252,0,1,1,1,30014187,1
0,1,252,0,1,1,1,30013872,1
0,1,252,0,1,1,1,30014192,1
0,1,252,0,1,1,1,30014191,1
0,1,252,0,1,1,1,30013875,1
0,1,252,0,1,1,1,30014078,1
0,1,252,0,1,1,1,30014141,1
0,1,252,0,1,1,1,30014134,1
0,1,265,0,-1,1,-1,30014188,1
0,1,265,0,1,1,1,30014144,2
0,1,265,0,1,1,1,30014191,1
0,1,265,0,1,1,1,30014187,1
0,1,265,0,1,1,1,30013871,1
0,1,265,0,1,1,1,30013872,1
0,1,265,0,1,1,1,30014190,1
0,1,265,0,1,1,1,30013875,1
0,1,265,0,1,1,1,30014193,1
0,1,265,0,1,1,1,30014141,1
0,1,265,0,1,1,1,30014192,1
0,1,265,0,1,1,1,30014134,1
0,1,267,0,1,1,1,30014188,6
0,1,267,0,1,1,1,30014187,6
0,1,267,0,1,1,1,30014191,6
0,1,267,0,1,1,1,30014190,6
0,1,267,0,1,1,1,30014144,6
0,1,267,0,1,1,1,30014193,6
0,1,267,0,1,1,1,30014192,6
0,1,268,0,-1,1,-1,30014188,1
0,1,268,0,-1,1,-1,30014191,1
0,1,268,0,-1,1,-1,30014187,1
0,1,268,0,-1,1,-1,30014190,1
0,1,268,0,-1,1,-1,30014144,1
0,1,268,0,-1,1,-1,30014192,1
0,1,268,0,-1,1,-1,30014193,1
0,1,269,0,-1,1,-1,30014188,1
0,1,269,0,-1,1,-1,30014193,1
0,1,269,0,1,1,-1,30014191,1
0,1,269,0,1,1,-1,30014190,1
0,1,269,0,1,1,-1,30014192,1
0,1,269,0,1,1,1,30014144,1
0,1,269,0,1,1,1,30014187,1
0,1,270,0,-1,1,-1,30014188,1
0,1,270,0,-1,1,-1,30014191,1
0,1,270,0,-1,1,-1,30014193,1
0,1,270,0,1,1,-1,30014190,1
0,1,270,0,1,1,-1,30014192,1
0,1,270,0,1,1,1,30014187,1
0,1,270,0,1,1,1,30014144,1
0,1,271,0,-1,1,-1,30014187,1
0,1,271,0,-1,1,-1,30014188,1
0,1,271,0,-1,1,-1,30014190,1
0,1,271,0,-1,1,-1,30014191,1
0,1,271,0,-1,1,-1,30014193,1
0,1,271,0,-1,1,-1,30014192,1
0,1,271,0,1,1,-1,30014144,1
0,1,272,0,1,1,1,30014187,1
0,1,272,0,1,1,1,30014190,1
0,1,272,0,1,1,1,30014191,1
0,1,272,0,1,1,1,30014193,1
0,1,272,0,1,1,1,30014192,1
0,1,272,0,1,1,1,30014144,1
0,1,272,0,1,1,1,30014188,1
0,1,273,0,-1,1,1,30014188,1
0,1,273,0,1,1,1,30014191,1
0,1,273,0,1,1,1,30014187,1
0,1,273,0,1,1,1,30014190,1
0,1,273,0,1,1,1,30014192,1
0,1,273,0,1,1,1,30014144,1
0,1,273,0,1,1,1,30014193,1
0,1,274,0,-1,1,-1,30013876,1
0,1,274,0,-1,1,-1,30014188,1
0,1,274,0,-1,1,-1,30014190,1
0,1,274,0,-1,1,-1,30014192,1
0,1,274,0,-1,1,-1,30014193,1
0,1,274,0,-1,1,-1,30014191,1
0,1,274,0,-1,1,1,30013875,1
0,1,274,0,-1,1,1,30014144,1
0,1,274,0,-1,1,1,30013359,1
0,1,274,0,-1,1,1,30014136,1
0,1,274,0,-1,1,1,30014187,1
0,1,274,0,-1,1,1,30013871,1
0,1,274,0,-1,1,1,30013873,1
0,1,276,0,-1,1,1,30013875,1
0,1,276,0,-1,1,1,30013876,1
0,1,276,0,-1,1,1,30014188,1
0,1,276,0,-1,1,1,30014190,1
0,1,276,0,-1,1,1,30014192,1
0,1,276,0,-1,1,1,30014193,1
0,1,276,0,-1,1,1,30014144,1
0,1,276,0,-1,1,1,30013359,1
0,1,276,0,-1,1,1,30014136,1
0,1,276,0,-1,1,1,30014187,1
0,1,276,0,-1,1,1,30014191,1
0,1,276,0,-1,1,1,30013871,1
0,1,276,0,-1,1,1,30013873,1
0,1,310,0,1,1,1,30014187,1
0,1,310,0,1,1,1,30014144,1
0,1,310,0,1,1,1,30014189,1
0,1,310,0,1,1,1,30014138,1
0,1,310,0,1,1,1,30013876,1
0,1,310,0,1,1,1,30014140,1
0,1,310,0,1,1,1,30014190,1
0,1,310,0,1,1,1,30013874,1
0,1,310,0,1,1,1,30014143,1
0,1,310,0,1,1,1,30014192,1
0,1,310,0,1,1,1,30014191,1
0,1,310,0,1,1,1,30014193,1
0,1,310,0,1,1,1,30013873,1
0,1,311,0,1,1,1,30014187,1
