IsolationForest,LOF,OneClassSVM,sleeve,count
1,1,1,530314 К,189
1,1,1,30012909,171
1,1,1,30014143,165
1,1,1,30014135,165
1,1,1,30014140,146
1,1,1,30013874,143
1,1,1,30014189,140
1,1,1,30014188,134
1,1,1,30014134,133
1,1,1,30012904,132
1,1,1,30012903,132
1,1,1,30014183,120
1,1,1,30014078,119
1,1,1,30014185,117
1,1,1,30014186,117
1,1,1,30014184,115
1,1,1,30013868,114
1,1,1,30013863,114
1,1,1,30013866,113
1,1,1,30013872,112
1,1,1,30013865,111
1,1,1,30013870,110
1,1,1,30012905,110
1,1,1,30014139,109
1,1,1,30012913,108
1,1,1,30013864,89
1,1,1,30011717,89
1,1,1,83898,79
1,1,1,30012264,78
1,1,1,30014083,77
1,1,1,30014084,77
1,1,1,30014077,77
1,1,1,30014082,77
1,1,1,30012912,76
1,1,1,30014085,75
1,1,1,30013867,71
1,1,1,30013349,66
1,1,1,30014079,65
1,1,1,30013353,64
1,1,1,30014080,63
1,1,1,30012910,58
1,1,1,30013363,35
1,1,1,30013358,32
1,1,1,30013356,32
1,1,1,30012907,26
1,1,1,30013352,23
1,1,1,30013351,21
1,1,1,30012261,18
1,1,1,30013350,18
1,1,1,30013346,17
1,1,1,30012088,15
1,1,1,30013347,10
